Beginning of 3683 lines of CVR
1	102  Ward 2	5121627 N	2	1	Republican 
21	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
21	102  Ward 2	5121627		3	29	Gary Watts				Coroner
21	102  Ward 2	5121627		3	35	John V Green		 Soil and Water District Commission
21	102  Ward 2	5121627		3	41	Barbara A Scott		 SCH1ALG School Board District 1 At Large
21	102  Ward 2	5121627		3	52	No						Statewide Amendment No 1
21	102  Ward 2	5121627		3	58	No						Local Question 2
21	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
21	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
21	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
21	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
21	102  Ward 2	5121627		3	54	Yes						Local Question 1
21	102  Ward 2	5121627		3	7	Mitt Romney				President of Vice President
21	102  Ward 2	5121627		3	35	John V Green		 Soil and Water District Commission
21	102  Ward 2	5121627		3	41	Barbara A Scott		 SCH1ALG School Board District 1 At Large
21	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
21	102  Ward 2	5121627		3	58	No						Local Question 2
21	102  Ward 2	5121627		3	7	Mitt Romney				President of Vice President
21	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
21	102  Ward 2	5121627		3	29	Gary Watts				Coroner
21	102  Ward 2	5121627		3	35	John V Green		 Soil and Water District Commission
21	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
22	102  Ward 2	5121627 N	3	1	Republican 
22	102  Ward 2	5121627		3	52	No						Statewide Amendment No 1
22	102  Ward 2	5121627		3	57	Yes						Local Question 2
22	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
22	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
22	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
22	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
22	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
22	102  Ward 2	5121627		3	57	Yes						Local Question 2
22	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
22	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
22	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
22	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
22	102  Ward 2	5121627		3	45	Beatrice King				SCHO013 School Board District 1 Seat 3
22	102  Ward 2	5121627		3	54	Yes						Local Question 1
23	102  Ward 2	5121627 N	3	3	Democratic 
23	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
23	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
23	102  Ward 2	5121627		3	29	Gary Watts				Coroner
23	102  Ward 2	5121627		3	38	Vince Ford				SCH1ALG School Board District 1 At Large
23	102  Ward 2	5121627		3	54	Yes						Local Question 1
24	102  Ward 2	5121627 N	3	3	Democratic 
24	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
24	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
24	102  Ward 2	5121627		3	29	Gary Watts				Coroner
24	102  Ward 2	5121627		3	38	Vince Ford				SCH1ALG School Board District 1 At Large
24	102  Ward 2	5121627		3	54	Yes						Local Question 1
25	102  Ward 2	5121627 N	3	9	Barack Obama		 President of Vice President
25	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
25	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
25	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
25	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
25	102  Ward 2	5121627		3	57	Yes						Local Question 2
25	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
25	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
25	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
